NAME OF MEDIA,DESCRIPTION & SM,Genre,REACH,Territory,WEBSITE,⛅️,🍎,🎙,🎶,🐥,👍,💃,📸,📹,🤓
RADIO DISNEY,A pop and rock music network owned by The Walt Disney Company broadcasted in several countries in Latin America. Social Media: 5.4M,,,ARGENTINA,https://radiodisney.disneylatino.com/argentina,,,https://podcasts.apple.com/ar/artist/radio-disney-latinoamerica/1525596874,https://open.spotify.com/user/2h9pwq1r07vmt8mklaxwug6sl?si=xLmaXaCrSuS5HOizp00IMg,https://twitter.com/RadioDisneyLA,https://www.facebook.com/RadioDisneyLA/?fref=ts,,https://www.instagram.com/radiodisneyla/,https://www.youtube.com/user/RadioDisneyLA,
indiehearts,"A big website whose focus is in music, interviews , videos, and events. Social Media: 30 K, Views: 28 K ",,,ARGENTINA,http://indiehearts.com,,,,,https://www.twitter.com/indieheartsba,https://www.facebook.com/indieheartsba,,https://www.instagram.com/indieheartsba,https://www.youtube.com/user/IndieHeartsBA,
CMTV,"CMTV is a cable and satellite television station known as Canal og music or CM Channel. CMTV produces and airs celebrity interviews, music-related VJ shows and history shows as well as rock, pop, folk and urban music videos. Social Media: 245K",,,ARGENTINA,https://www.cmtv.com.ar,,,,,,https://www.facebook.com/cmtvargentina/,,https://www.instagram.com/cmtvargentina/?hl=es,https://www.youtube.com/user/CMTVmusica/,
GQ,"A men's magazine (Based in NY), the publication focuses on fashion, style, and culture for men, through articles on movies, music, travel, sport, technology, fitness and more. Digital audience: over 3M, Circulation: 34 K, Physical audience: 70K. Social Media 2.3M",,,"LATAM, MÉXICO",https://www.revistagq.com/tags/argentina,,,,,https://twitter.com/gqspain?lang=es,https://www.facebook.com/GQEspana?fref=ts,,http://instagram.com/gqspain,https://www.youtube.com/channel/UCyQxeIRfA3QKiSCcp5TVcmA,
"ADN Radio ","An online radio station that covers news, sports, and music. Social Media: Over 2M",,,CHILE,,,,,,,,,,,
Rolling Stone,National edition of the renowned American music Magazine. Social media 630K. Distribution: 70K monthly (Argentina - Uruguay - Paraguay and Bolivia),,,ARGENTINA,https://www.lanacion.com.ar/revista-rolling-stone/,,,,,https://twitter.com/RollingStoneAr,https://www.facebook.com/rollingstoneargentina/,,,,
Pogo de Rock,"Online music publication with a focus on both national and international acts. Their primary content is regarding interviews, events, fashion, and more. Social Media: 3K.",,,"ARGENTINA, CANCELLED",http://www.pogoderockpop.com.ar,,,,,,https://www.facebook.com/PogodeRock/,,,,
Revista Brando,"Part of newspaper La Nación, that focuses on ideas, trends, stories: culture in movement. Social Media: 74k+","Entertainment, Lifestyle, News",,ARGENTINA,https://www.lanacion.com.ar/revista-brando/,,,,,https://twitter.com/RevistaBrando,https://www.facebook.com/revistabrando,,https://www.instagram.com/revistabrando/,,
Alfredo Rosso,"Renowned Argentine journalist and presenter. He currently hosts La Casa del Rock Naciente on Rock & Pop, Figuración on Nacional Rock and La Trama celeste on Pop Radio 101.5.",,,ARGENTINA,,,,,,,https://www.facebook.com/alfredo.rosso.9,,https://www.instagram.com/rossoalfredoluis/,,
,Cinema wesbite. Social Media 5.6M,,,BRAZIL,,,,,,,,,,,
Tecoapple,"Brazil-based digital media outlet focused on music, film, TV, and pop culture, publishing news, reviews, and cultural commentary with a strong connection to contemporary and alternative scenes. Across its social media presence, Tecoapple reaches an estimated ~27.6K total followers.",,,BRAZIL,,,,,,,,,,,
Radio Vozes,"A radio station curated by Patricia Palumbo, a very well known music journalist in Brazil. She has a very famous radio show focused on Brazilian Music and now Radio Vozez covers music from all over the world. Social Media: 21k",,,BRAZIL,,,,,,,,,,,
Caldeirão do Huck,"Globo TV - Terrestrial, 7M viewers. Aired on Saturday afternoon.
Artists that have done it before: The xx, Demi Lovatto, Bastille
Viewership is 6 or 7 million | TV performance - 1 or 2 songs 
",,,BRAZIL,,,,,,,,,,,
Marcelo Costa,"Journalist and announcer for a MTV music channel SCREAM & YELL. Followers: 24.7K
",,,BRAZIL,,,,,,,,,,,
MULTISHOW,"An entertainment channel in Brazil by Globosat/Globo network, they broadcast about music, shows, interviews, humor, and news focused on a young audience. Social Media: Over 18M",,,BRAZIL,,,,,,,,,,,
Destak,"A free newspaper that distributes to the main cities in Brazil and has an online platform that discusses news, music, and culture. Social Media: 178K",,,BRAZIL,,,,,,,,,,,
Territorio da Musica,Facebook: 27k likes,,,BRAZIL,,,,,,,,,,,
Revista SOM,"Magazine Online with 20.000 views per mounth. Focus in music , interviews and News.",,,BRAZIL,,,,,,,,,,,
"Altas Horas ","Globo TV - Terrestrial - 5M viewers - Aired on Saturday evening - Artists that have done it: Robbie Williams (Adel was there???), Rodrigo y Gabriela, Michael Franti, Gavin James",,,BRAZIL,,,,,,,,,,,
Revista O Grito,"Online magazine focused on art, culture, politics and music. Social Media: 32K.",,,BRAZIL,,,,,,,,,,,
MadSound,Online portal for alternative music news. Social Media: 6.7K,,,BRAZIL,,,,,,,,,,,
Glamurama,"One of the largest journalism groups in Brazil, with more than 7.4 billion page views every month and its homepage receives more than 50 million unique visitors per month. Social Media: 4.3M  ",,,BRAZIL,,,,,,,,,,,
"Phouse ",The biggest electronic music magazine in Latin America. Voted best specialized channel in Rio Music Conference in 2016. Social Media: 365K,,,BRAZIL,,,,,,,,,,,
Antena 1,"One of the most listened to radio stations in Brazil for pop and rock music, adult contemporary genre. Social Media: 390K",,,BRAZIL,,,,,,,,,,,
Summa Inferno,One of the largest online rock and metal outlets from Mexico. They work tightly with the Hell and Heaven Festival production company. Social Media: 1M,,,MÉXICO,,,,,,,,,,,
Midiorama,"Music and entertainment industry publication. Social Media: 366K 
",,,BRAZIL,,,,,,,,,,,
Istoé,Weekly printed and digital magazine reporting on general news and information. Social media: Over 1M,,,BRAZIL,,,,,,,,,,,
A Ilha Do Metal,Online entertainment portal with news on metal. Social Media: 154K.,,,BRAZIL,,,,,,,,,,,
Indie O Clock," Indie music Website, News and Interviews. Social Media: 6K",,,BRAZIL,,,,,,,,,,,
